project,report_ID,task_ID,"task_state (rejected, pending, completed)","expired (Yes or No)",user,task_create_date,report_start_date,report_save_date,report_update_date,last_user,report_sent_date,task_limit_date,task_update_date,task_latitude,task_longitude,report_latitude,report_longitude,task_description,task_observation,Detalle,"Tipo incidencia","Localización (Mapa)",Foto,Observaciones
INCIDENCIA,KD0t9,,,Yes,ayagaures.pistas1,,"2018-02-19 14:41:57","2018-02-19 14:43:58","2018-02-19 15:31:39",,"2018-02-19 15:31:39",,,,,27.9451203,-15.5805968,,,Detalle,"Caída distinto nivel","27.937913064053173,-15.62690444290638",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/313_19-02-2018_14-43-58_1513762025395.png,"Zona con riesgo de caída a distinto nivel."
INCIDENCIA,KD0tV,,,Yes,ayagaures.pistas1,,"2018-02-19 15:30:29","2018-02-19 15:31:34","2018-02-19 16:18:43",,"2018-02-19 16:18:43",,,,,27.9495134,-15.6135793,,,Detalle,Instalaciones,"27.928912009922403,-15.623312629759312",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/318_19-02-2018_15-31-34_1513762025395.png,"Zona recreativa Morro de Santiago."
INCIDENCIA,KD0FB,,,Yes,ayagaures.pistas1,,"2018-02-21 10:09:33","2018-02-21 10:12:37","2018-02-21 11:08:38",,"2018-02-21 11:08:38",,,,,28.1467066,-15.656099,,,Detalle,OTROS,"28.032362997701977,-15.753226093947887",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/329_21-02-2018_10-12-37_1513762025395.png,"Afluencia de agua de origen natural procedente   de la montaña."
INCIDENCIA,KD0FE,,,Yes,ayagaures.pistas1,,"2018-02-21 10:17:34","2018-02-21 10:19:00","2018-02-21 11:08:38",,"2018-02-21 11:08:38",,,,,28.1467066,-15.656099,,,Detalle,"Caída distinto nivel","28.033033304911374,-15.751668736338617",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/331_21-02-2018_10-19-00_1513762025395.png,"Zona con riesgo de caída a distinto nivel."
INCIDENCIA,KD0Ff,,,Yes,ayagaures.pistas1,,"2018-02-21 10:25:44","2018-02-21 10:27:40","2018-02-21 11:15:14",,"2018-02-21 11:15:14",,,,,28.1503933,-15.691662,,,Detalle,"Caída distinto nivel","28.03458994042472,-15.750170052051544",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/332_21-02-2018_10-27-40_1513762025395.png,"Zona con riesgo de caída a distinto nivel."
INCIDENCIA,KD0F0,,,Yes,ayagaures.pistas1,,"2018-02-21 10:34:01","2018-02-21 10:36:10","2018-02-21 11:32:46",,"2018-02-21 11:32:46",,,,,28.1503933,-15.691662,,,Detalle,"Limita/Prohibe Paso","28.03465711791431,-15.746584944427012",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/333_21-02-2018_10-36-10_1513762025395.png,"Lugar de la pista donde es necesario disponer de llave para abrir el candado y poder acceder a la misma."
INCIDENCIA,KD0GU,,,Yes,ayagaures.pistas1,,"2018-02-21 11:11:03","2018-02-21 11:12:34","2018-02-21 11:59:34",,"2018-02-21 11:59:34",,,,,28.1503933,-15.691662,,,Detalle,Desprendimiento,"28.022929719608655,-15.7447774708271",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/340_21-02-2018_11-12-34_1513762025395.png,"Zona de desprendimientos."
INCIDENCIA,KD0GB,,,Yes,ayagaures.pistas1,,"2018-02-21 11:18:39","2018-02-21 11:20:00","2018-02-21 12:06:58",,"2018-02-21 12:06:58",,,,,28.1503933,-15.691662,,,Detalle,OTROS,"28.021035506252815,-15.741857886314394",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/342_21-02-2018_11-20-00_1513762025395.png,"Afluencia de agua procedente del barranco."
INCIDENCIA,KD0a5,,,Yes,ayagaures.pistas1,,"2018-02-21 11:34:45","2018-02-21 11:36:28","2018-02-21 13:13:06",,"2018-02-21 13:13:06",,,,,27.8507081,-15.4432562,,,Detalle,"Caída distinto nivel","28.020168004603498,-15.725876279175283",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/344_21-02-2018_11-36-28_1513762025395.png,"Zona con riesgo de caída a distinto nivel justo en extremo de la pista."
INCIDENCIA,KD0a7,,,Yes,ayagaures.pistas1,,"2018-02-21 12:32:42","2018-02-21 12:33:41","2018-02-21 13:33:52",,"2018-02-21 13:33:52",,,,,28.1503933,-15.691662,,,Detalle,Cárcavas,"28.017068501147914,-15.74272021651268",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/347_21-02-2018_12-33-41_1513762025395.png,"Presencia de cárcavas provocadas por lluvias."
INCIDENCIA,KD0Lo,,,Yes,ayagaures.pistas1,,"2018-02-21 13:19:19","2018-02-21 13:20:47","2018-02-21 17:12:05",,"2018-02-21 17:12:05",,,,,28.0703365,-15.7151301,,,Detalle,OTROS,"28.02447880619495,-15.741370394825935",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/352_21-02-2018_13-20-47_1513762025395.png,"Afluencia de agua procedente del barranco."
INCIDENCIA,KD0Lw,,,Yes,ayagaures.pistas1,,"2018-02-21 14:49:40","2018-02-21 14:51:17","2018-02-21 17:12:05",,"2018-02-21 17:12:05",,,,,28.0703365,-15.7151301,,,Detalle,OTROS,"28.026496077740312,-15.719100348651407",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/364_21-02-2018_14-51-17_1513762025395.png,"Afluencia de agua procedente de la montaña."
INCIDENCIA,KD0L5,,,Yes,ayagaures.pistas1,,"2018-02-21 15:00:53","2018-02-21 15:02:00","2018-02-21 17:12:05",,"2018-02-21 17:12:05",,,,,28.0703365,-15.7151301,,,Detalle,OTROS,"28.02520776299501,-15.714815855026247",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/366_21-02-2018_15-02-00_1513762025395.png,"Afluencia de agua procedente del barranco."
INCIDENCIA,KD0LF,,,Yes,ayagaures.pistas1,,"2018-02-21 15:03:05","2018-02-21 15:04:08","2018-02-21 17:12:05",,"2018-02-21 17:12:05",,,,,28.0703365,-15.7151301,,,Detalle,"Caída distinto nivel","28.025792286298508,-15.714546628296373",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/367_21-02-2018_15-04-08_1513762025395.png,"Zona de la pista con riesgo de caída a distinto nivel."
INCIDENCIA,KD0LG,,,Yes,ayagaures.pistas1,,"2018-02-21 15:10:20","2018-02-21 15:11:32","2018-02-21 17:12:05",,"2018-02-21 17:12:05",,,,,28.0703365,-15.7151301,,,Detalle,"Caída distinto nivel","28.022787358794442,-15.713087841868399",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/369_21-02-2018_15-11-32_1513762025395.png,"Zona con riesgo de caída a distinto nivel."
INCIDENCIA,KD0La,,,Yes,ayagaures.pistas1,,"2018-02-21 15:15:42","2018-02-21 15:16:57","2018-02-21 17:12:06",,"2018-02-21 17:12:06",,,,,28.0703365,-15.7151301,,,Detalle,"Explotación agrícola","28.025341537722273,-15.71192041039467",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/370_21-02-2018_15-16-57_1513762025395.png,"Zona de explotación apicola."
INCIDENCIA,KD0L3,,,Yes,ayagaures.pistas1,,"2018-02-21 15:39:09","2018-02-21 15:40:32","2018-02-21 17:12:06",,"2018-02-21 17:12:06",,,,,28.0703365,-15.7151301,,,Detalle,Instalaciones,"28.027055437715106,-15.702252388000488",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/374_21-02-2018_15-40-32_1513762025395.png,"Embalse de la Comunidad de Regantes Tirma."
INCIDENCIA,KD0LL,,,Yes,ayagaures.pistas1,,"2018-02-21 15:48:06","2018-02-21 15:49:15","2018-02-21 17:12:06",,"2018-02-21 17:12:06",,,,,28.0703365,-15.7151301,,,Detalle,OTROS,"28.02399756769732,-15.695271939039232",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/375_21-02-2018_15-49-15_1513762025395.png,"Afluencia de agua procedente de la montaña."
INCIDENCIA,KD0Le,,,Yes,ayagaures.pistas1,,"2018-02-21 15:50:34","2018-02-21 15:52:16","2018-02-21 17:12:06",,"2018-02-21 17:12:06",,,,,28.0703365,-15.7151301,,,Detalle,"Caída distinto nivel","28.02573250228862,-15.69552943110466",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/376_21-02-2018_15-52-16_1513762025395.png,"Zona con riesgo de caída a distinto nivel."
INCIDENCIA,KD0Lj,,,Yes,ayagaures.pistas1,,"2018-02-21 15:55:54","2018-02-21 15:57:09","2018-02-21 17:12:06",,"2018-02-21 17:12:06",,,,,28.0703365,-15.7151301,,,Detalle,OTROS,"28.02636644787095,-15.691430680453777",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/378_21-02-2018_15-57-09_1513762025395.png,"Afluencia de agua procedente de la montaña."
INCIDENCIA,KD0LA,,,Yes,ayagaures.pistas1,,"2018-02-21 15:57:58","2018-02-21 15:59:09","2018-02-21 17:12:07",,"2018-02-21 17:12:07",,,,,28.0703365,-15.7151301,,,Detalle,OTROS,"28.02633004493432,-15.690347738564014",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/379_21-02-2018_15-59-09_1513762025395.png,"Afluencia de agua procedente de la montaña."
INCIDENCIA,KD0NH,,,Yes,ayagaures.pistas1,,"2018-02-22 11:37:42","2018-02-22 11:39:30","2018-02-22 12:37:12",,"2018-02-22 12:37:11",,,,,27.9554077,-15.6150453,,,Detalle,"Explotación agrícola","27.918846363605347,-15.636838003993034",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/389_22-02-2018_11-39-30_1513762025395.png,"Explotación agrícola dedicada a cultivos diversos."
INCIDENCIA,KD0NP,,,Yes,ayagaures.pistas1,,"2018-02-22 11:48:52","2018-02-22 11:50:17","2018-02-22 12:37:12",,"2018-02-22 12:37:12",,,,,27.9554077,-15.6150453,,,Detalle,Instalaciones,"27.920845170172374,-15.634751580655577",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/392_22-02-2018_11-50-17_1513762025395.png,"Represa situada a pocos metros de la pista."
INCIDENCIA,KD0U0,,,Yes,ayagaures.pistas1,,"2018-02-22 12:44:53","2018-02-22 12:46:23","2018-02-22 13:33:16",,"2018-02-22 13:33:16",,,,,27.9554077,-15.6150453,,,Detalle,"Caída distinto nivel","27.900030530772884,-15.654525160789488",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/400_22-02-2018_12-46-23_1513762025395.png,"Zona con riesgo de caída a distinto nivel."
INCIDENCIA,KD0UY,,,Yes,ayagaures.pistas1,,"2018-02-22 12:50:23","2018-02-22 12:51:47","2018-02-22 13:38:39",,"2018-02-22 13:38:39",,,,,27.9554077,-15.6150453,,,Detalle,Cárcavas,"27.89800674573562,-15.656412094831467",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/401_22-02-2018_12-51-47_1513762025395.png,"Presencia de cárcavas en la pista."
INCIDENCIA,KD0UQ,,,Yes,ayagaures.pistas1,,"2018-02-22 12:52:22","2018-02-22 12:53:24","2018-02-22 13:40:17",,"2018-02-22 13:40:17",,,,,27.9554077,-15.6150453,,,Detalle,"Caída distinto nivel","27.89796585481332,-15.656325593590738",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/402_22-02-2018_12-53-24_1513762025395.png,"Zona con riesgo de caída a distinto nivel."
INCIDENCIA,KD0Um,,,Yes,ayagaures.pistas1,,"2018-02-22 12:56:59","2018-02-22 12:58:34","2018-02-22 13:45:25",,"2018-02-22 13:45:25",,,,,27.9451203,-15.5805968,,,Detalle,Cárcavas,"27.897399306531725,-15.658867321908476",https://web.surikat.io/uploads/img/submissions/365F9D6C550675B308AE485164A7943B/403_22-02-2018_12-58-34_1513762025395.png,"Presencia de cárcavas provocadas por lluvias."
